movie,year,imdb,metascore,votes,us_grossMillions,timeMin
The Imitation Game,2014,8.0,71,723925,91.13,114
Life Is Beautiful,1997,8.6,59,657369,57.6,116
Pan's Labyrinth,2006,8.2,98,642561,37.63,118
The Last of the Mohicans,1992,7.7,76,160916,75.51,112
Silver Linings Playbook,2012,7.7,81,684231,132.09,122
The Handmaiden,2016,8.1,84,130459,2.01,145
About Time,2013,7.8,55,325866,15.32,123
Dead Poets Society,1989,8.1,79,453652,95.86,128
Zootopia,2016,8.0,78,462961,341.27,108
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82,1214236,290.48,124
Her,2013,8.0,91,572757,25.57,126
Apocalypto,2006,7.8,68,301552,50.87,139
Reservoir Dogs,1992,8.3,79,965167,2.83,99
The Royal Tenenbaums,2001,7.6,76,278943,52.36,110
The Hunt,2012,8.3,77,306981,0.69,115
The Incredibles,2004,8.0,90,685739,261.44,115
Sin City,2005,8.0,74,752087,74.1,124
The Truman Show,1998,8.1,90,998797,125.62,103
Brokeback Mountain,2005,7.7,87,340910,83.04,134
Edward Scissorhands,1990,7.9,74,465922,56.36,105
Jaws,1975,8.0,87,568768,260.0,124
The Terminator,1984,8.0,84,824514,38.4,107
A Beautiful Mind,2001,8.2,72,887308,170.74,135
Indiana Jones and the Raiders of the Lost Ark,1981,8.4,85,922706,248.16,115
Training Day,2001,7.7,69,412803,76.63,122
A Star Is Born,2018,7.6,88,359290,215.29,136
Mulholland Drive,2001,7.9,85,339972,7.22,147
The Intouchables,2011,8.5,57,804005,13.18,112
Star Wars: Episode VI - Return of the Jedi,1983,8.3,58,993367,309.13,131
Ford v Ferrari,2019,8.1,81,342214,117.62,152
Apollo 13,1995,7.6,77,282745,173.84,140
Children of Men,2006,7.9,84,482309,35.55,109
Man on Fire,2004,7.7,47,347743,77.91,146
It's a Wonderful Life,1946,8.6,89,425066,,130
Young Frankenstein,1974,8.0,80,152536,86.3,106
"Paris, Texas",1984,8.1,78,100318,2.18,145
Mary Poppins,1964,7.8,88,164650,102.27,139
American History X,1998,8.5,62,1073567,6.72,119
Ratatouille,2007,8.0,96,674916,206.45,111
City of God,2002,8.6,79,726125,7.56,130
Come and See,1985,8.3,,69497,,142
Marriage Story,2019,7.9,94,277697,2.0,137
Shershaah,2021,8.7,,107636,,135
Mystic River,2003,7.9,84,439771,90.14,138
The Best Years of Our Lives,1946,8.1,93,61344,23.65,170
The Trial of the Chicago 7,2020,7.8,76,161239,,129
Toy Story,1995,8.3,95,934183,191.8,81
Ferris Bueller's Day Off,1986,7.8,61,338364,70.14,103
Unforgiven,1992,8.2,85,394629,101.16,130
Hot Fuzz,2007,7.8,81,485270,23.64,121
Your Name.,2016,8.4,79,230318,5.02,106
Saw,2004,7.6,46,400871,56.0,103
E.T. the Extra-Terrestrial,1982,7.8,91,389914,435.11,115
Trainspotting,1996,8.1,83,659994,16.5,93
Isle of Dogs,2018,7.9,82,154348,32.02,101
Little Miss Sunshine,2006,7.8,80,457593,59.89,101
Predator,1987,7.8,45,390128,59.74,107
Toy Story 4,2019,7.7,84,226123,434.04,100
The Game,1997,7.7,61,372620,48.32,129
Casino,1995,8.2,73,491956,42.44,178
The Sixth Sense,1999,8.1,64,948096,293.51,107
Captain Fantastic,2016,7.9,72,207220,5.88,118
"Monsters, Inc.",2001,8.1,79,857256,289.92,92
Edge of Tomorrow,2014,7.9,71,637117,100.21,113
Ocean's Eleven,2001,7.7,74,543188,183.42,116
The Curious Case of Benjamin Button,2008,7.8,70,618723,127.51,166
Dallas Buyers Club,2013,8.0,79,464705,27.3,117
Rushmore,1998,7.7,86,177805,17.11,93
The Hobbit: The Desolation of Smaug,2013,7.8,66,626042,258.37,161
The Wizard of Oz,1939,8.0,92,381213,2.08,102
The Dirty Dozen,1967,7.7,73,70413,45.3,150
Rocky,1976,8.1,70,543991,117.24,120
Dark Waters,2019,7.6,73,75815,,126
Hell or High Water,2016,7.6,88,216356,26.86,102
Casablanca,1942,8.5,100,546371,1.02,102
The Blind Side,2009,7.6,53,310976,255.96,129
Tangled,2010,7.7,71,426462,200.82,100
The Deer Hunter,1978,8.1,86,326515,48.98,183
Amadeus,1984,8.3,88,384688,51.97,160
Minority Report,2002,7.6,80,529628,132.07,145
The Mitchells vs the Machines,2021,7.7,80,78931,,113
Coraline,2009,7.7,80,211911,75.29,100
For a Few Dollars More,1965,8.2,74,245357,15.0,132
Shaun of the Dead,2004,7.9,76,534815,13.54,99
Inside Out,2015,8.1,94,660299,356.46,95
Boyz n the Hood,1991,7.8,76,134140,57.5,112
Sound of Metal,2019,7.8,82,108905,,120
The Help,2011,8.0,62,441378,169.71,146
My Cousin Vinny,1992,7.6,68,115878,52.93,120
Empire of the Sun,1987,7.7,62,121044,22.24,153
Room,2015,8.1,86,396050,14.68,118
X-Men: Days of Future Past,2014,7.9,75,683308,233.92,132
Howl's Moving Castle,2004,8.2,80,362066,4.71,119
Star Trek Into Darkness,2013,7.7,72,473854,228.78,132
Platoon,1986,8.1,92,397579,138.53,120
Willy Wonka & the Chocolate Factory,1971,7.8,67,190084,4.0,100
A Few Good Men,1992,7.7,62,249239,141.34,138
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,604745,42.34,119
Paths of Glory,1957,8.4,90,188584,,88
The Machinist,2004,7.7,61,373313,1.08,101
Dances with Wolves,1990,8.0,72,251984,184.21,181
Memories of Murder,2003,8.1,82,162246,0.01,132
Shrek,2001,7.9,84,642654,267.67,90
Taken,2008,7.8,51,583457,145.0,90
Blazing Saddles,1974,7.7,73,132763,119.5,93
Close Encounters of the Third Kind,1977,7.6,90,193421,132.09,138
Up,2009,8.2,88,983043,293.0,96
The Untouchables,1987,7.9,79,296772,76.27,119
12 Years a Slave,2013,8.1,96,669126,56.67,134
The Thin Red Line,1998,7.6,78,181373,36.4,170
Aladdin,1992,8.0,86,389492,217.35,90
The Great Escape,1963,8.2,86,235176,12.1,172
True Grit,2010,7.6,80,325379,171.24,110
Midnight in Paris,2011,7.7,81,405579,56.82,94
Rush,2013,8.1,74,456054,26.95,123
